id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
724298,3193594,la Sagrada Família,Entire home/apt,41.41053740801207,2.174263391886754,143.0,10,35,0.01,4,42.4,commercial,0,1
725009,1935498,Sant Antoni,Entire home/apt,41.37621,2.16393,186.0,2,219,1.67,3,52.0,commercial,1,2
728480,2201772,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.387882232666016,2.1522819995880127,478.0,7,181,0.46,1,50.2,commercial,0,1
729078,3786292,el Raval,Entire home/apt,41.37741,2.17391,99.0,1,164,3.61,1,49.0,commercial,0,1
731049,3803356,Sants - Badal,Private room,41.37202,2.12871,34.0,2,7,0.12,39,0.4,medium_term_room_rental,0,0
739557,3868307,la Sagrada Família,Entire home/apt,41.40135,2.17217,217.0,1,253,2.97,3,53.8,commercial,1,2
740113,3193594,Sant Antoni,Entire home/apt,41.37785,2.16238,120.0,10,42,0.12,4,42.8,commercial,0,1
742156,3678711,el Putxet i el Farró,Entire home/apt,41.40888,2.14634,206.0,13,96,0.88,1,45.9,commercial,0,1
742241,3678711,Vallcarca i els Penitents,Entire home/apt,41.41035,2.14795,230.0,13,96,0.55,1,45.9,commercial,0,1
743612,1233230,Navas,Entire home/apt,41.41622,2.18918,284.0,1,301,0.56,1,56.5,commercial,1,2
744153,3899934,la Dreta de l'Eixample,Entire home/apt,41.39829,2.17542,68.0,1,135,4.17,4,47.4,commercial,0,1
